Code,Description
"1081702","Brownwood, TX: Brownwood Regional"
"1081801","Braunschweig, Germany: Braunschweig/Wolfsburg"
"1081802","Braunschweig, Germany: Braunschweig/Wolfsburg"
"1081803","Braunschweig, Germany: Braunschweig/Wolfsburg"
"1081901","Bowling Green, KY: Bowling Green-Warren County Regional"
"1081902","Bowling Green, KY: Bowling Green-Warren County Regional"
"1082001","Butterworth, Malaysia: Butterworth A/D Penang"
"1082002","Butterworth, Malaysia: Butterworth Airport"
"1082101","Baltimore, MD: Friendship International"
"1082102","Baltimore, MD: Baltimore/Washington International"
"1082103","Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
"1082201","Bawan, Papua New Guinea: Bawan Airport"
"1082202","Bawan, Papua New Guinea: Bawan Airport"
"1082301","Bowman, ND: Bowman County"
"1082302","Bowman, ND: Bowman Municipal"
"1082401","Bandar Seri Begawan, Brunei: Brunei International"
"1082402","Bandar Seri Begawan, Brunei: Brunei International"
"1082501","Blaine, WA: Blaine Municipal"
"1082502","Blaine, WA: Blaine Municipal"
"1082601","Burnie, Australia: Wynyard"
"1082602","Burnie, Australia: Wynyard"
"1082603","Burnie, Australia: Wynyard"
"1082701","Woodbridge, United Kingdom: RAF Bentwaters"
"1082801","Boxborough, MA: Sheraton Inn Heliport"
"1082901","Bade, Indonesia: Bade Airport"
"1082902","Bade, Indonesia: Bade Airport"
"1083001","Bakel, Senegal: Bakel Airport"
"1083002","Bakel, Senegal: Bakel Airport"
"1083201","Borrego Springs, CA: Borrego Valley"
"1083202","Borrego Springs, CA: Borrego Valley"
"1083301","Butuan, Philippines: Bancasi"
"1083401","Boundary, AK: Boundary Airport"
"1083402","Boundary, AK: Boundary Airport"
"1083501","Yacuiba, Bolivia: Yacuiba Airport"
"1083502","Yacuiba, Bolivia: Yacuiba Airport"
"1083503","Yacuiba, Bolivia: Yacuiba Airport"
"1083601","Rock Hill, SC: Rock Hill/York County/Bryant Field"
"1083701","Buffalo, WY: Johnson County"
"1083702","Buffalo, WY: Johnson County"
"1083801","Blytheville, AR: Blytheville AFB"
"1083802","Blytheville, AR: Arkansas International"
"1083803","Blytheville, AR: Arkansas International"
"1083901","Burley/Rupert, ID: Burley Municipal"
"1083902","Burley/Rupert, ID: Burley Municipal"
"1084001","Bouake, Cote d'Ivoire: Bouake Airport"
"1084002","Bouake, Cote d'Ivoire: Bouake Airport"
"1084101","Boyne Falls, MI: Boyne Mountain"
"1084201","Bantry, Ireland: Bantry Airport"
"1084202","Bantry, Ireland: Bantry Airport"
"1084203","Bantry, Ireland: Bantry Airport"
"1084301","Bayreuth, West Germany: Bayreuth Airport"
"1084302","Bayreuth, Germany: Bayreuth Airport"
"1084303","Bayreuth, Germany: Bayreuth Airport"
"1084401","Blakely Island, WA: Blakely Island Airport"
"1084402","Blakely Island, WA: Blakely Island Airport"
"1084501","Bonanza, Nicaragua: Bonanza Airport"
"1084502","Bonanza, Nicaragua: Bonanza Airport"
"1084601","Belize City, Belize: Philip S. W. Goldson International"
"1084602","Belize City, Belize: Philip S. W. Goldson International"
"1084701","Bydgoszcz, Poland: Szwederowo"
"1084702","Bydgoszcz, Poland: Szwederowo"
"1084801","Balikesir, Turkey: Balikesir Airport"
"1084802","Balikesir, Turkey: Balikesir Airport"
"1084803","Balikesir, Turkey: Balikesir Airport"
"1084901","Bozeman, MT: Gallatin Field"
"1084902","Bozeman, MT: Gallatin Field"
"1084903","Bozeman, MT: Bozeman Yellowstone International"
"1085001","Bolzano, Italy: Bolzano Airport"
"1085002","Bolzano, Italy: Bolzano Airport"
"1085101","Beziers, France: Vias"
"1085102","Beziers, France: Vias"
"1085201","Washington, DC: Buzzards Point Seaplane Base"
"1085301","Brazoria, TX: Eagle Air Park"
"1085401","Brazzaville, Congo (Brazaville): Maya Maya"
"1085402","Brazzaville, Congo (Brazaville): Maya Maya"
"1085403","Brazzaville, Congo (Brazaville): Maya Maya"
"1085601","Brize Norton, United Kingdom: Brize Norton Airport"
"1085602","Brize Norton, United Kingdom: Brize Norton Airport"
"1085701","Camarillo, CA: Camarillo Airport"
"1085702","Camarillo, CA: Camarillo Airport"
"1085801","Bakersfield, CA: Bakersfield Municipal"
"1085802","Bakersfield, CA: Bakersfield Municipal"
"1085901","Koala Mine, Canada: Koala Mine Airport"
"1086001","Lake Simcoe, Canada: Lake Simcoe Regional"
"1086002","Lake Simcoe, Canada: Lake Simcoe Regional"
"1086101","Thetford Mines, Canada: Thetford Mines Airport"
"1086201","Pelee Island, Canada: Pelee Island Airport"
"1086202","Pelee Island, Canada: Pelee Island Airport"
"1086301","Calgary, Canada: Calgary Springbank"
"1086302","Calgary, Canada: Calgary Springbank"
"1086501","Cabinda, Angola: Cabinda Airport"
"1086502","Cabinda, Angola: Cabinda Airport"
"1086601","Cascavel, Brazil: Cascavel Airport"
"1086602","Cascavel, Brazil: Cascavel Airport"
"1086701","Cadillac, MI: Wexford County"
"1086702","Cadillac, MI: Wexford County"
"1086801","Columbia, SC: Columbia Metropolitan"
"1086802","Columbia, SC: Columbia Metropolitan"
"1086803","Columbia, SC: Columbia Metropolitan"
"1086901","Carauari, Brazil: Carauari Airport"
"1086902","Carauari, Brazil: Carauari Airport"
"1087001","Cagliari, Italy: Cagliari/Elmas"
"1087002","Cagliari, Italy: Elmas"
"1087101","Ca Mau, Vietnam: Quan Long"
"1087102","Ca Mau, Vietnam: Ca Mau Airport"
"1087103","Ca Mau, Vietnam: Ca Mau Airport"
"1087201","Cairo, Egypt: Cairo International"
"1087202","Cairo, Egypt: Cairo International"
"1087301","Canaima, Venezuela: Canaima Airport"
"1087302","Canaima, Venezuela: Canaima Airport"
"1087401","Akron, OH: Akron-Canton Regional"
"1087402","Akron, OH: Akron-Canton Regional"
"1087501","Campbeltown, United Kingdom: Machrihanish"
"1087502","Campbeltown, United Kingdom: Campbeltown Airport"
"1087503","Campbeltown, United Kingdom: Campbeltown Airport"
"1087601","Camiri, Bolivia: Choreti"
"1087701","Guangzhou, China: Baiyun International"
"1087702","Guangzhou, China: Baiyun International"
"1087801","Cap-Haitien, Haiti: Cap-Haitien International"
"1087802","Cap-Haitien, Haiti: Cap-Haitien International"
"1087901","Caribou, ME: Caribou Municipal"
"1087902","Caribou, ME: Caribou Municipal"
"1087903","Caribou, ME: Caribou Municipal"
"1088001","Casablanca, Morocco: Anfa"
"1088002","Casablanca, Morocco: Anfa"
"1088101","New Bight, The Bahamas: New Bight Airport"
"1088102","New Bight, The Bahamas: New Bight Airport"
"1088201","Campos, Brazil: Bartolomeu Lisandro"
"1088202","Campos, Brazil: Bartolomeu Lisandro"
"1088301","Carlisle, United Kingdom: Carlisle Airport"
"1088302","Carlisle, United Kingdom: Carlisle Airport"
"1088401","Cayenne, French Guiana: Rochambeau"
"1088402","Cayenne, French Guiana: Rochambeau"
"1088403","Cayenne, French Guiana: Cayenne Felix Eboue"
"1088501","Cobar, Australia: Cobar Airport"
"1088502","Cobar, Australia: Cobar Airport"
"1088601","Corner Bay, AK: Corner Bay Airport"
"1088701","Cochabamba, Bolivia: Jorge Wilstermann"
"1088702","Cochabamba, Bolivia: Jorge Wilstermann"
"1088703","Cochabamba, Bolivia: Jorge Wilstermann"
"1088801","Cumberland, MD: Cumberland Municipal"
"1088802","Cumberland, MD: Greater Cumberland Regional"
"1088901","Council Bluffs, IA: Council Bluffs Municipal"
"1088902","Council Bluffs, IA: Council Bluffs Municipal"
"1089001","Cambridge, United Kingdom: Cambridge Airport"
"1089002","Cambridge, United Kingdom: Cambridge Airport"
"1089101","Colomb-Bechar, Algeria: Bechar/Leger"
"1089201","Colby, KS: Murray"
"1089301","Ciudad Bolivar, Venezuela: Ciudad Bolivar Airport"
"1089302","Ciudad Bolivar, Venezuela: Ciudad Bolivar Airport"
"1089401","Columbus, MS: Columbus AFB"
"1089402","Columbus, MS: Columbus AFB"
"1089501","Cotabato, Philippines: Cotabato Airport"
"1089502","Cotabato, Philippines: Cotabato Airport"
"1089601","Calabar, Nigeria: Calabar Airport"
"1089602","Calabar, Nigeria: Calabar Airport"
"1089701","Canberra, Australia: Canberra Airport"
"1089702","Canberra, Australia: Canberra Airport"
"1089801","Coban, Guatemala: Coban Airport"
"1089802","Coban, Guatemala: Coban Airport"
"1089901","Canobie, Australia: Canobie Airport"
"1090001","Cayo Coco, Cuba: Cayo Coco Airport"
"1090002","Cayo Coco, Cuba: Jardines del Rey"
"1090201","Carcassonne, France: Salvaza"
"1090202","Carcassonne, France: Salvaza"
"1090301","Chile Chico, Chile: Chile Chico Airport"
"1090302","Chile Chico, Chile: Chile Chico Airport"
"1090401","Concordia, Brazil: Concordia Airport"
"1090402","Concordia, Brazil: Concordia Airport"
"1090501","Calicut, India: Calicut Airport"
"1090502","Calicut, India: Calicut Airport"
"1090601","West Island, Cocos (Keeling) Islands: Cocos Island International"
"1090602","West Island, Cocos (Keeling) Islands: Cocos Keeling Island"
"1090603","West Island, Cocos (Keeling) Islands: Cocos Keeling Island"
"1090701","Crisciuma, Brazil: Criciuma"
"1090801","Chakhcharan, Afghanistan: Chakhcharan Airport"
"1090802","Chakhcharan, Afghanistan: Chakhcharan Airport"
"1090803","Chakhcharan, Afghanistan: Chakhcharan Airport"
"1090804","Chakhcharan, Afghanistan: Chakhcharan Airport"
"1090805","Chakhcharan, Afghanistan: Chakhcharan Airport"
"1090901","Concepcion, Chile: Carriel Sur International"
"1090902","Concepcion, Chile: Carriel Sur International"
"1091001","Concord, CA: Buchanan Field"
"1091002","Concord, CA: Buchanan Field"
"1091003","Concord, CA: Buchanan Field"
"1091101","Caracas, Venezuela: Simon Bolivar International"
"1091102","Caracas, Venezuela: Simon Bolivar International"
"1091201","Calcutta, India: Dum Dum"
"1091202","Calcutta, India: Netaji Subhash Chandra Bose International"
"1091203","Kolkata, India: Netaji Subhash Chandra Bose International"
"1091204","Kolkata, India: Netaji Subhash Chandra Bose International"
"1091401","Caceres, Brazil: Caceres Airport"
"1091402","Caceres, Brazil: Caceres Airport"
"1091501","Charles City, IA: Charles City Municipal"
"1091502","Charles City, IA: Northeast Iowa Regional"
"1091601","Chub Cay, The Bahamas: Chub Cay Airport"
"1091602","Chub Cay, The Bahamas: Chub Cay Airport"
"1091603","Chub Cay, The Bahamas: Chub Cay Airport"
"1091701","Cold Bay, AK: Cold Bay Airport"
"1091702","Cold Bay, AK: Cold Bay Airport"
"1091801","Cedar City, UT: Cedar City Regional"
"1091802","Cedar City, UT: Cedar City Regional"
"1091901","Cortina d'Ampezzo, Italy: Cortina d'Ampezzo Airport"
"1091902","Cortina d'Ampezzo, Italy: Cortina d'Ampezzo Airport"
"1092001","Paris, France: Charles de Gaulle"
"1092002","Paris, France: Charles de Gaulle"
"1092101","Camden, AR: Harrell Field"
"1092102","Camden, AR: Harrell Field"
"1092201","Conceicao Do Araguaia, Brazil: Conceicao Do Araguaia Airport"
"1092202","Conceicao Do Araguaia, Brazil: Conceicao Do Araguaia Airport"
"1092301","Candle, AK: Candle 2"
"1092302","Candle, AK: Candle 2"
"1092401","Camden, SC: Woodward Field"
"1092402","Camden, SC: Woodward Field"
"1092501","Chadron, NE: Chadron Municipal"
"1092502","Chadron, NE: Chadron Municipal"
"1092601","Cordova, AK: Cordova Mile 13"
"1092602","Cordova, AK: Mile 13 Field"
"1092603","Cordova, AK: Merle K Mudhole Smith"
"1092701","Caldwell, NJ: Caldwell Wright"
"1092702","Caldwell, NJ: Essex County"
"1092801","Wichita, KS: Cessna Aircraft Field"
"1092802","Wichita, KS: Cessna Aircraft Field"
"1092901","Lapu-Lapu City, Philippines: Mactan-Cebu International"
"1093001","Crescent City, CA: Jack McNamara Field"
"1093002","Crescent City, CA: Jack McNamara Field"
"1093101","Ceduna, Australia: Ceduna Airport"
"1093102","Ceduna, Australia: Ceduna Airport"
"1093301","Chicopee Falls, MA: Westover AFB"
"1093302","Chicopee Falls, MA: Westover ARB Metropolitan"
"1093401","Chester, United Kingdom: Hawarden"
"1093402","Chester, United Kingdom: Hawarden"
"1093501","Chiang Rai, Thailand: Chiang Rai Airport"
"1093502","Chiang Rai, Thailand: Chiang Rai Airport"
"1093601","Chelyabinsk, Russia: Balandino"
"1093602","Chelyabinsk, Russia: Balandino"
"1093701","Cape Eleuthera, The Bahamas: Cape Eleuthera Half"
"1093702","Cape Eleuthera, The Bahamas: Cape Eleuthera Airport"
"1093703","Cape Eleuthera, The Bahamas: Cape Eleuthera Airport"
"1093704","Cape Eleuthera, The Bahamas: Cape Eleuthera Airport"
"1093801","Central, AK: Central Airport"
"1093802","Central, AK: Central Airport"
"1093901","Ciudad Obregon, Mexico: Ciudad Obregon International"
"1093902","Ciudad Obregon, Mexico: Ciudad Obregon International"
"1094001","Waco Kungo, Angola: Waco Kungo Airport"
"1094002","Waco Kungo, Angola: Waco Kungo Airport"
"1094003","Waco Kungo, Angola: Waco Kungo Airport"
"1094101","Concepcion, Bolivia: Concepcion Airport"
"1094102","Concepcion, Bolivia: Concepcion Airport"
"1094201","Cannes, France: Mandelieu"
"1094202","Cannes, France: Mandelieu"
"1094301","Cherbourg, France: Maupertus"
"1094302","Cherbourg, France: Maupertus"
"1094303","Cherbourg, France: Maupertus"
"1094401","Cholet, France: Le Pontreau"
"1094402","Cholet, France: Le Pontreau"
"1094501","Clemson, SC: Clemson-Oconee County"
"1094502","Clemson, SC: Oconee County Regional"
"1094503","Clemson, SC: Oconee County Regional"
"1094601","Connersville, IN: Mettel Field"
"1094602","Connersville, IN: Mettel Field"
"1094603","Connersville, IN: Mettel Field"
"1094701","Crestview, FL: Bob Sikes"
"1094702","Crestview, FL: Bob Sikes"
"1094801","Chena Hot Springs, AK: Chena Hot Springs Airport"
"1094802","Chena Hot Springs, AK: Chena Hot Springs Airport"
"1094901","Murray, KY: Kyle-Oakley Field"
"1094902","Murray, KY: Kyle-Oakley Field"
"1095001","Cortez, CO: Cortez Montezuma County"
"1095002","Cortez, CO: Cortez Municipal"
"1095101","Coffee Point, AK: Coffee Point Airport"
"1095201","Cabo Frio, Brazil: Cabo Frio International"
"1095202","Cabo Frio, Brazil: Cabo Frio Airport"
"1095301","Clermont-Ferrand, France: Aulnat"
"1095302","Clermont-Ferrand, France: Auvergne"
"1095303","Clermont-Ferrand, France: Auvergne"
"1095401","Cienfuegos, Cuba: Jaime Gonzalez"
"1095501","Silver City, Canada: Silver City Airport"
"1095601","Caen, France: Carpiquet"
"1095602","Caen, France: Carpiquet"
"1095701","Coffs Harbour, Australia: Coffs Harbour Airport"
"1095702","Coffs Harbour, Australia: Coffs Harbour Airport"
"1095801","Clifton, AZ: Greenlee County"
"1095802","Clifton, AZ: Greenlee County"
"1095901","Corfu, Greece: Kerkira"
"1095902","Corfu, Greece: Ioannis Kapodistrias International"
"1096001","Coffeyville, KS: Coffeyville Municipal"
"1096002","Coffeyville, KS: Coffeyville Municipal"
"1096003","Coffeyville, KS: Coffeyville Municipal"
"1096004","Coffeyville, KS: Coffeyville Municipal"
"1096101","Craig, AK: Craig Seaplane Base"
"1096201","Cuiaba, Brazil: Marechal Rondon International"
"1096202","Cuiaba, Brazil: Marechal Rondon International"
"1096301","Cape Gloucester, Papua New Guinea: Cape Gloucester Airport"
"1096302","Cape Gloucester, Papua New Guinea: Cape Gloucester Airport"
"1096401","Cambridge, MD: Cambridge-Dorchester"
"1096402","Cambridge, MD: Cambridge-Dorchester"
"1096501","Cleveland, OH: Cuyahoga County"
"1096502","Cleveland, OH: Cuyahoga County"
"1096601","Sao Paulo, Brazil: Congonhas"
"1096602","Sao Paulo, Brazil: Congonhas"
"1096701","Cape Girardeau, MO: Cape Girardeau Regional"
"1096702","Cape Girardeau, MO: Cape Girardeau Regional"
"1096801","Jakarta, Indonesia: Soekarno-Hatta International"
"1096802","Jakarta, Indonesia: Soekarno-Hatta International"
"1096901","Camiguin, Philippines: Camiguin Airport"
"1096902","Camiguin, Philippines: Camiguin Airport"
"1097001","Cologne, West Germany: Wahn"
"1097002","Cologne, West Germany: Cologne Bonn"
"1097003","Cologne, Germany: Cologne Bonn"
"1097004","Cologne, Germany: Koln Bonn"
"1097101","Zhengzhou, China: Zhengzhou Airport"
"1097102","Zhengzhou, China: Xinzheng"
"1097201","Chittagong, Bangladesh: Chittagong Airport"
"1097301","Changchun, China: Dafangshen"
"1097401","Campo Grande, Brazil: Campo Grande Air Base"
"1097402","Campo Grande, Brazil: Campo Grande Airport"
"1097403","Campo Grande, Brazil: Campo Grande International"
"1097501","College Park, MD: College Park Airport"
"1097502","College Park, MD: College Park Airport"
"1097601","Ciudad Guayana, Venezuela: Ciudad Guayana Metropolitan Area"
"1097701","Chicago, IL: Meigs Field"
"1097801","Cagayan, Philippines: Cagayan de Oro"
"1097802","Cagayan, Philippines: Cagayan de Oro"
"1097901","Casa Grande, AZ: Casa Grande Municipal"
"1097902","Casa Grande, AZ: Casa Grande Municipal"
"1098001","Chattanooga, TN: Lovell Field"
"1098002","Chattanooga, TN: Lovell Field"
"1098101","Christchurch, New Zealand: Christchurch International"
"1098102","Christchurch, New Zealand: Christchurch International"
"1098201","Chandler, AZ: Chandler Municipal"
"1098202","Chandler, AZ: Chandler Municipal"
"1098301","Caherciveen, Ireland: Caherciveen Reenroe"
"1098401","Chinhae, South Korea: R 813"
"1098402","Chinhae, South Korea: Jinhae"
"1098501","Chaoyang, China: Chaoyang Airport"
"1098502","Chaoyang, China: Chaoyang Airport"
"1098601","Chicago, IL: Chicago Metropolitan Area"
"1098701","Challis, ID: Challis Airport"
"1098702","Challis, ID: Challis Airport"
"1098703","Challis, ID: Challis Airport"
"1098801","Chimbote, Peru: Chimbote Airport"
"1098802","Chimbote, Peru: Teniente Jaime A. de Montreuil Morales"
"1099001","Charlottesville, VA: Charlottesville Albemarle"
"1099002","Charlottesville, VA: Charlottesville Albemarle"
"1099101","Circle Hot Springs, AK: Circle Hot Springs Airport"
"1099201","Chania, Greece: Souda"
"1099202","Chania, Greece: Souda"
"1099301","Chateauroux, France: Chateauroux Airport"
"1099401","Charleston, SC: Charleston International"
"1099402","Charleston, SC: Charleston AFB/International"
"1099501","Chatham Islands, New Zealand: Chatham Islands Airport"
"1099601","Chuathbaluk, AK: Chuathbaluk Airport"
"1099602","Chuathbaluk, AK: Chuathbaluk Airport"
"1099701","Jiuquan, China: Jiuquan Airport"
"1099702","Jiuquan, China: Jiuquan Airport"
"1099703","Jiuquan, China: Jiayuguan"
"1099801","Changuinola, Panama: Changuinola 1"
"1099901","Chiloquin, OR: Chiloquin State"
"1099902","Chiloquin, OR: Chiloquin State"
"1100001","Rome, Italy: Ciampino"
"1100002","Rome, Italy: Ciampino"
"1100101","Avalon, CA: Catalina"
"1100201","Chico, CA: Chico Municipal"
"1100202","Chico, CA: Chico Municipal"
"1100301","Cedar Rapids/Iowa City, IA: Cedar Rapids Municipal"
"1100302","Cedar Rapids/Iowa City, IA: The Eastern Iowa"
"1100303","Cedar Rapids/Iowa City, IA: The Eastern Iowa"
"1100401","Craig, CO: Craig-Moffat"
"1100402","Craig, CO: Craig-Moffat"
"1100501","Changzhi, China: Changzhi Airport"
"1100601","Cobija, Bolivia: Cobija Airport"
"1100602","Cobija, Bolivia: Cobija Airport"
"1100701","Chalkyitsik, AK: Chalkyitsik Airport"
"1100702","Chalkyitsik, AK: Chalkyitsik Airport"
"1100801","Council, AK: Council Airport"
"1100802","Council, AK: Council Airport"
"1100901","Carroll, IA: Arthur N Neu"
"1100902","Carroll, IA: Arthur N Neu"
"1100903","Carroll, IA: Arthur N Neu"
"1101001","Chipata, Zambia: Chipata Airport"
"1101002","Chipata, Zambia: Chipata Airport"
"1101101","Cairo, IL: Cairo Regional"
"1101102","Cairo, IL: Cairo Regional"
"1101103","Cairo, IL: Cairo Regional"
"1101301","Sault Ste. Marie, MI: Kincheloe AFB"
"1101302","Sault Ste. Marie, MI: Chippewa County International"
"1101303","Sault Ste. Marie, MI: Chippewa County International"
"1101401","Chomley, AK: Chomley Airport"
"1101501","Canouan, Saint Vincent and the Grenadines: Canouan Airport"
"1101502","Canouan, Saint Vincent and the Grenadines: Canouan Airport"
"1101601","Chiclayo, Peru: Capt. Jose A. Quinones Gonzales International"
"1101602","Chiclayo, Peru: Capt. Jose A. Quinones Gonzales International"
"1101701","Comiso, Italy: Comiso Airport"
"1101702","Comiso, Italy: Comiso Airport"
"1101801","Cajamarca, Peru: Cajamarca Airport"
"1101802","Cajamarca, Peru: Gen FAP Armando Revoredo Iglesias"
"1101901","Coimbatore, India: Coimbatore Airport"
"1101902","Coimbatore, India: Coimbatore Airport"
"1102001","Calama, Chile: El Loa"
"1102002","Calama, Chile: El Loa"
"1102101","Crafton Island, AK: Crafton Island Airport"
"1102301","Chitral, Pakistan: Chitral Airport"
"1102302","Chitral, Pakistan: Chitral Airport"
"1102401","Ciudad Juarez, Mexico: Ciudad Juarez International"
"1102402","Ciudad Juarez, Mexico: Abraham Gonzalez International"
"1102501","Jeju, South Korea: Jeju International"
"1102502","Jeju, South Korea: Jeju International"
"1102601","Clay Center, KS: Clay Center Municipal"
"1102701","Clarksburg/Fairmont, WV: Benedum"
"1102702","Clarksburg/Fairmont, WV: North Central West Virginia"
"1102801","Crooked Creek, AK: Crooked Creek Airport"
"1102802","Crooked Creek, AK: Crooked Creek Airport"
"1102901","Clear Lake, CA: Pearce Field"
"1103001","Chongqing, China: Jiangbei"
"1103101","Clarksdale, MS: Fletcher Field"
"1103201","Cancun, Mexico: Cancun International"
"1103301","Carajas, Brazil: Carajas Airport"
"1103302","Carajas, Brazil: Carajas Airport"
"1103401","Cordova, AK: Cordova Municipal"
"1103402","Cordova, AK: Cordova Municipal"
"1103501","Clarksville, TN: Outlaw Field"
"1103502","Clarksville, TN: Outlaw Field"
"1103601","Chicken, AK: Chicken Airport"
"1103602","Chicken, AK: Chicken Airport"
"1103701","Conakry, Guinea: Conakry Airport"
"1103702","Conakry, Guinea: Conakry Airport"
"1103801","Comilla, Bangladesh: Comilla Airport"
"1103802","Comilla, Bangladesh: Comilla Airport"
"1103901","Castlebar, Ireland: Castlebar Airport"
"1104001","Clear Lake City, TX: Clear Lake Metroport"
"1104101","Carlsbad, CA: Palomar"
"1104102","Carlsbad, CA: McClellan-Palomar"
"1104103","Carlsbad, CA: McClellan-Palomar"
"1104201","Cleveland, OH: Cleveland-Hopkins International"
"1104202","Cleveland, OH: Cleveland-Hopkins International"
"1104301","Clear, AK: Clear Mews"
"1104401","Coalinga, CA: Coalinga Municipal"
"1104402","Coalinga, CA: New Coalinga Municipal"
"1104501","Coolah, Australia: Coolah Airport"
"1104502","Coolah, Australia: Coolah Airport"
"1104601","Clintonville, WI: Clintonville Municipal"
"1104602","Clintonville, WI: Clintonville Municipal"
"1104701","Cluj, Romania: Cluj Airport"
"1104702","Cluj-Napoca, Romania: Cluj-Napoca Airport"
"1104703","Cluj-Napoca, Romania: Cluj-Napoca Airport"
"1104801","Clinton, OK: Clinton Municipal"
"1104802","Clinton, OK: Clinton Regional"
"1104901","College Station/Bryan, TX: Easterwood Field"
"1104902","College Station/Bryan, TX: Easterwood Field"
"1105001","Port Angeles, WA: William R. Fairchild International"
"1105002","Port Angeles, WA: William R. Fairchild International"
"1105101","Carolina, Brazil: Carolina Airport"
"1105201","Cali, Colombia: Alfonso Bonilla Aragon International"
"1105202","Cali, Colombia: Alfonso Bonilla Aragon International"
"1105301","Clarks Point, AK: Clarks Point Airport"
"1105302","Clarks Point, AK: Clarks Point Airport"
"1105401","Colima, Mexico: Colima Airport"
"1105501","Calipatria, CA: Cliff Hatfield Memorial"
"1105502","Calipatria, CA: Cliff Hatfield Memorial"
"1105601","Chehalis, WA: Chehalis Airport"
"1105602","Chehalis, WA: Chehalis Centralia"
"1105603","Chehalis, WA: Chehalis Centralia"
"1105701","Charlotte, NC: Douglas Municipal"
"1105702","Charlotte, NC: Charlotte Douglas International"
"1105703","Charlotte, NC: Charlotte Douglas International"
"1105801","Columbus, IN: Columbus Municipal"
"1105802","Columbus, IN: Columbus Municipal"
"1105901","Calvi, France: Saint Catherine"
"1105902","Calvi, France: Saint Catherine"
"1106001","Cunnamulla, Australia: Cunnamulla Airport"
"1106002","Cunnamulla, Australia: Cunnamulla Airport"
"1106101","Colombo, Sri Lanka: Katunayak"
"1106102","Colombo, Sri Lanka: Bandaranayake International"
"1106103","Colombo, Sri Lanka: Bandaranaike International Colombo"
"1106201","Cootamundra, Australia: Cootamundra Airport"
"1106202","Cootamundra, Australia: Cootamundra Airport"
"1106301","Ciudad del Carmen, Mexico: Ciudad del Carmen International"
"1106302","Ciudad del Carmen, Mexico: Ciudad del Carmen International"
"1106303","Ciudad del Carmen, Mexico: Ciudad del Carmen International"
"1106401","Chambery, France: Aix Les Bains"
"1106402","Chambery, France: Aix Les Bains"
"1106403","Chambery, France: Aix Les Bains"
"1106501","Corumba, Brazil: Corumba International"
"1106502","Corumba, Brazil: Corumba International"
"1106601","Columbus, OH: Port Columbus International"
"1106602","Columbus, OH: Port Columbus International"
"1106701","Champaign/Urbana, IL: University of Illinois/Willard"
"1106702","Champaign/Urbana, IL: University of Illinois/Willard"
"1106801","Chi Mei, Taiwan: Chi Mei Airport"
"1106901","Carmelita, Guatemala: Carmelita Airport"
"1107001","Casablanca, Morocco: Mohammed V International"
"1107002","Casablanca, Morocco: Mohammed V International"
"1107101","Colmar, France: Houssen"
"1107102","Colmar, France: Houssen"
"1107201","Cameta, Brazil: Cameta Airport"
"1107202","Cameta, Brazil: Cameta Airport"
"1107203","Cameta, Brazil: Cameta Airport"
"1107301","Kundiawa, Papua New Guinea: Chimbu"
"1107302","Kundiawa, Papua New Guinea: Chimbu"
"1107401","Coromandel, New Zealand: Coromandel Airport"
"1107402","Coromandel, New Zealand: Coromandel Airport"
"1107501","Camaguey, Cuba: Ignacio Agramonte International"
"1107502","Camaguey, Cuba: Ignacio Agramonte International"
"1107503","Camaguey, Cuba: Ignacio Agramonte International"
"1107601","Hancock/Houghton, MI: Houghton County Memorial"
"1107602","Hancock/Houghton, MI: Houghton County Memorial"
"1107701","Cananea, Mexico: Cananea Airport"
"1107702","Cananea, Mexico: Cananea Airport"
"1107801","Coonamble, Australia: Coonamble Airport"
"1107802","Coonamble, Australia: Coonamble Airport"
"1107901","Coconut Island, Australia: Coconut Island Airport"
"1108001","Constanta, Romania: Rum Kogalniceanu"
"1108101","Canon City, CO: Fremont County"
"1108102","Canon City, CO: Fremont County"
"1108103","Canon City, CO: Fremont County"
"1108201","Belo Horizonte, Brazil: Tancredo Neves International"
"1108301","Concordia, KS: Blosser Municipal"
"1108302","Concordia, KS: Blosser Municipal"
"1108401","Sindal, Denmark: Sindal Airport"
"1108501","Carlsbad, NM: Cavern City Air Terminal"
"1108502","Carlsbad, NM: Cavern City Air Terminal"
"1108601","Chino, CA: Chino Airport"
"1108602","Chino, CA: Chino Airport"
"1108701","Corrientes, Argentina: Corrientes Airport"
"1108702","Corrientes, Argentina: Corrientes Airport"
"1108801","Chanaral, Chile: Chanaral Airport"
"1108802","Chanaral, Chile: Chanaral Airport"
"1108901","Cairns, Australia: Cairns International"
"1108902","Cairns, Australia: Cairns International"
"1109001","Waco, TX: TSTC Waco"
"1109002","Waco, TX: TSTC Waco"
"1109101","Chiang Mai, Thailand: Chiang Mai International"
"1109102","Chiang Mai, Thailand: Chiang Mai International"
"1109201","Moab, UT: Canyonlands Field"
"1109202","Moab, UT: Canyonlands Field"
"1109301","Marina, CA: Marina Municipal"
"1109302","Marina, CA: Marina Municipal"
"1109401","Melgar, Colombia: Tolemaida AB"
"1109402","Melgar, Colombia: Tolemaida AB"
"1109501","Columbia, CA: Columbia Airport"
"1109601","Concordia, Argentina: Comodoro Pierrestegui"
"1109602","Concordia, Argentina: Comodoro Pierrestegui"
